Place,Competitor,DOB,Nationality,Score,Date,res,City
812, Simon SIBEKO,15 JAN 1995, RSA, 1058, 27 AUG 2023,JPN,Budapest 2023
812, Simon SIBEKO,15 JAN 1995, RSA, 1058, 03 JUN 2023,RSA,Gqeberha
812, Simon SIBEKO,15 JAN 1995, RSA, 1058, 12 MAR 2023,RSA,Durban - South African Marathon Ch
812, Simon SIBEKO,15 JAN 1995, RSA, 1058, 04 FEB 2023,RSA,Germiston Stadium
812, Simon SIBEKO,15 JAN 1995, RSA, 1058, 21 JAN 2023,RSA,Germiston Stadium
813, Vitaliy SHAFAR,27 JAN 1982, UKR, 1058, 05 NOV 2023,KOR,Seoul
813, Vitaliy SHAFAR,27 JAN 1982, UKR, 1058, 24 SEP 2023,POL,Warszawa
813, Vitaliy SHAFAR,27 JAN 1982, UKR, 1058, 20 MAY 2023,CZE,Karlovy Vary
813, Vitaliy SHAFAR,27 JAN 1982, UKR, 1058, 04 FEB 2023,KEN,Eldoret - XC 10.0km
814, Yongmin SHIN,09 MAR 2001, KOR, 1058, 11 NOV 2023,UAE,Dubai
814, Yongmin SHIN,09 MAR 2001, KOR, 1058, 29 OCT 2023,KOR,Chuncheon
814, Yongmin SHIN,09 MAR 2001, KOR, 1058, 15 OCT 2023,KOR,Mokpo - University
814, Yongmin SHIN,09 MAR 2001, KOR, 1058, 15 OCT 2023,KOR,Mokpo - University
814, Yongmin SHIN,09 MAR 2001, KOR, 1058, 31:33.89 ,KOR,19th Asian Games
814, Yongmin SHIN,09 MAR 2001, KOR, 1058, 07 SEP 2023,KOR,Seocheon Sports Complex
814, Yongmin SHIN,09 MAR 2001, KOR, 1058, 06 AUG 2023,CHN,Shuangliu Sports Centre
814, Yongmin SHIN,09 MAR 2001, KOR, 1058, 31:28.08 ,CHN,Hokuren Distance Challenge - Fukagawa
814, Yongmin SHIN,09 MAR 2001, KOR, 1058, 01 JUL 2023,JPN,Athletics Stadium
814, Yongmin SHIN,09 MAR 2001, KOR, 1058, 24 JUN 2023,KOR,Jeongseon Sports Complex
814, Yongmin SHIN,09 MAR 2001, KOR, 1058, 13 JUN 2023,KOR,Naju Sports Complex
814, Yongmin SHIN,09 MAR 2001, KOR, 1058, 29:54.02 ,KOR,51st Flag of KBS National Athletics Meeting
814, Yongmin SHIN,09 MAR 2001, KOR, 1058, 06 MAY 2023,KOR,Yecheon Stadium
814, Yongmin SHIN,09 MAR 2001, KOR, 1058, 19 MAR 2023,KOR,Seoul
814, Yongmin SHIN,09 MAR 2001, KOR, 1058, 29 JAN 2023,JPN,Osaka Half Marathon Course
815, Shoma YAMAMOTO,10 APR 1995, JPN, 1057, 15 OCT 2023,JPN,Tokyo
816, Konstantin WEDEL,22 NOV 1993, GER, 1057, 25 NOV 2023,Perl - XC 9.7km,Gelände um das Deutsch-Luxemburgische Schengen-Lyzeum
816, Konstantin WEDEL,22 NOV 1993, GER, 1057, 24 SEP 2023,GER,Berlin
816, Konstantin WEDEL,22 NOV 1993, GER, 1057, 17 JUN 2023,AUT,LAZ Wien
816, Konstantin WEDEL,22 NOV 1993, GER, 1057, 03 JUN 2023,GER,Universitätsstadion Am Biopark
816, Konstantin WEDEL,22 NOV 1993, GER, 1057, 28:51.24 ,GER,Night of the 10
816, Konstantin WEDEL,22 NOV 1993, GER, 1057, 23 APR 2023,SUI,Zürich
817, Giuseppe GERRATANA,08 NOV 1992, ITA, 1057, 10 DEC 2023,ITA,Reggio Emilia
817, Giuseppe GERRATANA,08 NOV 1992, ITA, 1057, 29 OCT 2023,SUI,Luzern - World Military Championships
817, Giuseppe GERRATANA,08 NOV 1992, ITA, 1057, 26 JUL 2023,273m,Castelbuono - Non-standard distance: 11
817, Giuseppe GERRATANA,08 NOV 1992, ITA, 1057, 18 JUN 2023,ITA,Telese Terme
817, Giuseppe GERRATANA,08 NOV 1992, ITA, 1057, 02 APR 2023,ITA,Milano
817, Giuseppe GERRATANA,08 NOV 1992, ITA, 1057, 26 FEB 2023,ITA,Napoli
818, Evans YEGO,05 SEP 1995, KEN, 1057, 29 OCT 2023,GER,Frankfurt
819, Rene ORTIZ,29 SEP 1989, MEX, 1057, 14 OCT 2023,USA,Valley Cottage
819, Rene ORTIZ,29 SEP 1989, MEX, 1057, 27 AUG 2023,ARG,Buenos Aires
819, Rene ORTIZ,29 SEP 1989, MEX, 1057, 31:12.73 ,ARG,Mexican Championships
820, Taira KATO,02 MAY 1993, JPN, 1056, 03 DEC 2023,JPN,Fukuoka
820, Taira KATO,02 MAY 1993, JPN, 1056, 19 NOV 2023,JPN,Kobe
820, Taira KATO,02 MAY 1993, JPN, 1056, 08 JUL 2023,JPN,Athletic Track
820, Taira KATO,02 MAY 1993, JPN, 1056, 05 MAR 2023,JPN,Tokyo
821, Nick HAUGER,20 APR 1996, USA, 1056, 03 DEC 2023,USA,Sacramento
822, Kodai TOYOTA,04 JAN 1998, JPN, 1056, 03 DEC 2023,JPN,Fukuoka
822, Kodai TOYOTA,04 JAN 1998, JPN, 1056, 30 SEP 2023,JPN,Municipal Stadium
822, Kodai TOYOTA,04 JAN 1998, JPN, 1056, 20 MAY 2023,JPN,Municipal Stadium
822, Kodai TOYOTA,04 JAN 1998, JPN, 1056, 05 MAR 2023,JPN,Tokyo
823, Motlagale TUMELO,21 FEB 1995, RSA, 1055, 27 AUG 2023,JPN,Budapest 2023
823, Motlagale TUMELO,21 FEB 1995, RSA, 1055, 03 JUN 2023,RSA,Gqeberha
823, Motlagale TUMELO,21 FEB 1995, RSA, 1055, 12 MAR 2023,RSA,Durban - South African Marathon Ch
824, Alexander LEPRETRE,12 MAY 1993, GBR, 1055, 24 SEP 2023,GER,Berlin
824, Alexander LEPRETRE,12 MAY 1993, GBR, 1055, 03 SEP 2023,GBR,London
824, Alexander LEPRETRE,12 MAY 1993, GBR, 1055, 10 JUN 2023,GBR,Paula Radcliffe Stadium
824, Alexander LEPRETRE,12 MAY 1993, GBR, 1055, 15 JAN 2023,ESP,Valencia
825, Maxime LOPES,17 JUN 1991, FRA, 1055, 03 DEC 2023,ESP,Valencia
825, Maxime LOPES,17 JUN 1991, FRA, 1055, 24 SEP 2023,CAN,10km & 5km
825, Maxime LOPES,17 JUN 1991, FRA, 1055, 16 APR 2023,NED,Rotterdam
826, Melikhaya FRANS,05 FEB 1990, RSA, 1055, 15 OCT 2023,RSA,Cape Town
826, Melikhaya FRANS,05 FEB 1990, RSA, 1055, 27 AUG 2023,Hősök tere,Budapest 2023
826, Melikhaya FRANS,05 FEB 1990, RSA, 1055, 03 JUN 2023,RSA,Gqeberha
826, Melikhaya FRANS,05 FEB 1990, RSA, 1055, 17 APR 2023,USA,Boston
826, Melikhaya FRANS,05 FEB 1990, RSA, 1055, 17 APR 2023,USA,Boston
827, Luis Alberto ORTA,15 JAN 1989, VEN, 1055, 24 SEP 2023,GER,Berlin
827, Luis Alberto ORTA,15 JAN 1989, VEN, 1055, 02 JUL 2023,ESA,San Salvador
827, Luis Alberto ORTA,15 JAN 1989, VEN, 1055, 23 APR 2023,GER,Hamburg
827, Luis Alberto ORTA,15 JAN 1989, VEN, 1055, 18 FEB 2023,AUS,Bathurst
828, Sammy ROTICH,11 NOV 1986, KEN, 1055, 22 JUN 2024,AUS,Two Harbors to Duluth
828, Sammy ROTICH,11 NOV 1986, KEN, 1055, 16 MAR 2024,USA,Los Angeles
829, Shogo HIFUMI,20 OCT 1995, JPN, 1055, 29:20.72 ,USA,71st All Japan Corporate Teams Athletics Championships
829, Shogo HIFUMI,20 OCT 1995, JPN, 1055, 29:12.76 ,USA,71st Hyogo Relay Carnival
829, Shogo HIFUMI,20 OCT 1995, JPN, 1055, 26 FEB 2023,JPN,Osaka
829, Shogo HIFUMI,20 OCT 1995, JPN, 1055, 29 JAN 2023,JPN,Osaka Half Marathon Course
830, Michael MUTAI,08 JUN 1983, KEN, 1054, 10 DEC 2023,TUR,Mersin
830, Michael MUTAI,08 JUN 1983, KEN, 1054, 05 NOV 2023,TUR,Istanbul
831, Samuel MWANIKI,15 AUG 1984, KEN, 1054, 29 OCT 2023,CHN,Chengdu
832, Will NORRIS,, USA, 1054, 17 JUN 2023,USA,Duluth
832, Will NORRIS,, USA, 1054, 13 MAY 2023,USA,Grand Rapids
833, Naoki OKAMOTO,26 MAY 1984, JPN, 1054, 15 OCT 2023,JPN,Tokyo
833, Naoki OKAMOTO,26 MAY 1984, JPN, 1054, 21 MAY 2023,JPN,Municipal Stadium
833, Naoki OKAMOTO,26 MAY 1984, JPN, 1054, 20 MAY 2023,JPN,Municipal Stadium
833, Naoki OKAMOTO,26 MAY 1984, JPN, 1054, 28:53.30 ,JPN,62nd Chugoku Corporate Athletics Championship
833, Naoki OKAMOTO,26 MAY 1984, JPN, 1054, 29 APR 2023,JPN,Municipal Stadium
833, Naoki OKAMOTO,26 MAY 1984, JPN, 1054, 28:33.14 ,JPN,31st Kanakuri Memorial Middle and Long Distance Invitational Meet
833, Naoki OKAMOTO,26 MAY 1984, JPN, 1054, 19 FEB 2023,JPN,Ohme
833, Naoki OKAMOTO,26 MAY 1984, JPN, 1054, 29 JAN 2023,JPN,Osaka Half Marathon Course
834, Toshiya SATO,11 MAR 1998, JPN, 1054, 28:32.79 ,JPN,Hachioji Long Distance
834, Toshiya SATO,11 MAR 1998, JPN, 1054, 29:19.85 ,JPN,24th Chubu Area Corporate Teams Championships
834, Toshiya SATO,11 MAR 1998, JPN, 1054, 29:56.96 ,JPN,71st All Japan Corporate Teams Athletics Championships
834, Toshiya SATO,11 MAR 1998, JPN, 1054, 14 MAY 2023,JPN,Nagaragawa Stadium
834, Appachangada BELLIAPPA,11 FEB 1992, IND, 1054, 05 OCT 2023,CHN,Qiantang River Green Belt
836, José SOUSA,1989, POR, 1054, 05 NOV 2023,POR,Porto
836, José SOUSA,1989, POR, 1054, 08 OCT 2023,POR,Lisboa - Portuguese Marathon Ch
836, José SOUSA,1989, POR, 1054, 24 SEP 2023,GER,Berlin
836, José SOUSA,1989, POR, 1054, 17 SEP 2023,POR,Porto
836, José SOUSA,1989, POR, 1054, 07 MAY 2023,SUI,Genève
836, José SOUSA,1989, POR, 1054, 23 APR 2023,POR,Aveiro
836, José SOUSA,1989, POR, 1054, 19 FEB 2023,ESP,Sevilla
837, Björn KOREMAN,06 MAR 1991, NED, 1054, 03 DEC 2023,NED,Heerenberg
837, Björn KOREMAN,06 MAR 1991, NED, 1054, 19 NOV 2023,NED,Nijmegen
837, Björn KOREMAN,06 MAR 1991, NED, 1054, 26 JUL 2023,273m,Castelbuono - Non-standard distance: 11
837, Björn KOREMAN,06 MAR 1991, NED, 1054, 02 JUL 2023,NED,Sportpark Orderbos
837, Björn KOREMAN,06 MAR 1991, NED, 1054, 16 APR 2023,NED,Rotterdam - Dutch Marathon Ch
837, Björn KOREMAN,06 MAR 1991, NED, 1054, 12 MAR 2023,NED,Den Haag
837, Björn KOREMAN,06 MAR 1991, NED, 1054, 19 FEB 2023,ESP,Barcelona
838, Joseph MWANGI,20 APR 1976, KEN, 1054, 26 NOV 2023,TPE,National Stadium
838, Joseph MWANGI,20 APR 1976, KEN, 1054, 27 AUG 2023,INA,Bali
839, Suhwan JEON,28 AUG 1999, KOR, 1054, 15 OCT 2023,KOR,Mokpo
839, Suhwan JEON,28 AUG 1999, KOR, 1054, 07 JUL 2023,KOR,Iksan Stadium
839, Suhwan JEON,28 AUG 1999, KOR, 1054, 31:16.89 ,KOR,Korean Championships
839, Suhwan JEON,28 AUG 1999, KOR, 1054, 25 MAY 2023,KOR,Yecheon Stadium
839, Suhwan JEON,28 AUG 1999, KOR, 1054, 09 APR 2023,KOR,Gunsan
839, Suhwan JEON,28 AUG 1999, KOR, 1054, 19 MAR 2023,KOR,Seoul
840, Anthony EKAI,1996, KEN, 1053, 01 OCT 2023,GER,Köln
841, Robert MIRANDA,20 AUG 2000, USA, 1053, 03 DEC 2023,USA,Sacramento
842, Yudai FUKUDA,19 NOV 1996, JPN, 1053, 15 OCT 2023,JPN,Tokyo
842, Yudai FUKUDA,19 NOV 1996, JPN, 1053, 02 JUL 2023,AUS,Gold Coast
842, Yudai FUKUDA,19 NOV 1996, JPN, 1053, 23 APR 2023,JPN,Gifu
842, Yudai FUKUDA,19 NOV 1996, JPN, 1053, 05 MAR 2023,JPN,Tokyo
842, Yudai FUKUDA,19 NOV 1996, JPN, 1053, 05 FEB 2023,JPN,Marugame
843, Taiki SUZUKI,10 MAR 1995, JPN, 1053, 28:38.39 ,JPN,Hachioji Long Distance
843, Taiki SUZUKI,10 MAR 1995, JPN, 1053, 28 MAY 2023,CAN,Ottawa
843, Taiki SUZUKI,10 MAR 1995, JPN, 1053, 30:27.15 ,CAN,2nd Athletics Kenya Weekend Meeting
844, Guoshun LUO,16 APR 1996, CHN, 1053, 19 NOV 2023,CHN,Hefei
844, Guoshun LUO,16 APR 1996, CHN, 1053, 16 APR 2023,CHN,Yangzhou
844, Guoshun LUO,16 APR 1996, CHN, 1053, 02 APR 2023,CHN,Xiamen
844, Vagner DA SILVA NORONHA,05 JUL 1984, BRA, 1053, 31 DEC 2023,BRA,São Paulo
844, Vagner DA SILVA NORONHA,05 JUL 1984, BRA, 1053, 03 DEC 2023,ESP,Valencia
844, Vagner DA SILVA NORONHA,05 JUL 1984, BRA, 1053, 24 SEP 2023,BRA,Vitoria
844, Vagner DA SILVA NORONHA,05 JUL 1984, BRA, 1053, 06 MAY 2023,BRA,CNDA
844, Vagner DA SILVA NORONHA,05 JUL 1984, BRA, 1053, 02 APR 2023,BRA,Meio-Fundo e Fundo
844, Vagner DA SILVA NORONHA,05 JUL 1984, BRA, 1053, 31:52.45 ,BRA,Copa Brasil Loterias Caixa de Combinadas
844, Vagner DA SILVA NORONHA,05 JUL 1984, BRA, 1053, 19 FEB 2023,ESP,Sevilla
846, Takeshi NISHIDA,10 APR 1998, JPN, 1052, 29:16.50 ,ESP,24th Chubu Area Corporate Teams Championships
846, Takeshi NISHIDA,10 APR 1998, JPN, 1052, 29:47.79 ,ESP,Hokuren Distance Challenge - Fukagawa
846, Takeshi NISHIDA,10 APR 1998, JPN, 1052, 23 APR 2023,JPN,Gifu
846, Takeshi NISHIDA,10 APR 1998, JPN, 1052, 19 FEB 2023,JPN,Kumamoto
847, Daniel MUIVA KITONYI,12 JAN 1994, KEN, 1052, 15 OCT 2023,JPN,Tokyo
847, Daniel MUIVA KITONYI,12 JAN 1994, KEN, 1052, 19 FEB 2023,JPN,Ohme
848, Le XU,12 NOV 1997, CHN, 1052, 31 DEC 2023,CHN,Shenzhen
848, Le XU,12 NOV 1997, CHN, 1052, 19 NOV 2023,CHN,Hefei
848, Le XU,12 NOV 1997, CHN, 1052, 29 OCT 2023,CHN,Beijing
848, Le XU,12 NOV 1997, CHN, 1052, 15 OCT 2023,CHN,Dalian
848, Le XU,12 NOV 1997, CHN, 1052, DNF ,Rizhao,2nd National Grand Prix
848, Le XU,12 NOV 1997, CHN, 1052, 16 FEB 2023,CHN,Shandong Sports Training Center
849, Yuta INAGE,26 OCT 1994, JPN, 1052, 29:40.20 ,CHN,71st Hyogo Relay Carnival
850, Chris THOMPSON,17 APR 1981, GBR, 1051, 24 SEP 2023,GER,Berlin
850, Chris THOMPSON,17 APR 1981, GBR, 1051, 23 APR 2023,GBR,London
850, Chris THOMPSON,17 APR 1981, GBR, 1051, 19 MAR 2023,USA,New York
851, Takumi OHISI,27 AUG 1996, JPN, 1051, 03 DEC 2023,JPN,Fukuoka
851, Takumi OHISI,27 AUG 1996, JPN, 1051, 24 SEP 2023,JPN,NITTAIDAI Athletic Stadium
852, Matt BAXTER,06 AUG 1994, NZL, 1051, 03 DEC 2023,USA,Sacramento
852, Matt BAXTER,06 AUG 1994, NZL, 1051, 02 JUL 2023,AUS,Gold Coast - Oceania Marathon Championships
852, Matt BAXTER,06 AUG 1994, NZL, 1051, 07 MAY 2023,WA,Spokane
852, Matt BAXTER,06 AUG 1994, NZL, 1051, DNF ,Palo Alto,Payton Jordan Invitational
852, Matt BAXTER,06 AUG 1994, NZL, 1051, 18 FEB 2023,AUS,Bathurst
853, Takuya KUMASHIRO,15 MAR 1995, JPN, 1051, 03 DEC 2023,JPN,Fukuoka
853, Takuya KUMASHIRO,15 MAR 1995, JPN, 1051, 15 OCT 2023,JPN,Tokyo
853, Takuya KUMASHIRO,15 MAR 1995, JPN, 1051, 30:15.18 ,JPN,3rd Chugoku Corporate Long Distance Challenge
853, Takuya KUMASHIRO,15 MAR 1995, JPN, 1051, 27 AUG 2023,JPN,Sapporo
853, Takuya KUMASHIRO,15 MAR 1995, JPN, 1051, 15 JUL 2023,JPN,Aoba Park Athletic Field
853, Takuya KUMASHIRO,15 MAR 1995, JPN, 1051, 12 JUL 2023,JPN,Municipal Stadium
853, Takuya KUMASHIRO,15 MAR 1995, JPN, 1051, 08 JUL 2023,JPN,Athletic Track
853, Takuya KUMASHIRO,15 MAR 1995, JPN, 1051, 13 MAY 2023,JPN,Naruto Sports Park
853, Takuya KUMASHIRO,15 MAR 1995, JPN, 1051, 30:17.08 ,JPN,67th Kansai Inter-Corporate Track & Field Championships
853, Takuya KUMASHIRO,15 MAR 1995, JPN, 1051, 26 FEB 2023,JPN,Osaka
853, Takuya KUMASHIRO,15 MAR 1995, JPN, 1051, 29 JAN 2023,JPN,Osaka Half Marathon Course
854, Hüseyin CAN,27 JAN 1999, TUR, 1051, 17 DEC 2023,TUR,Gaziantep
854, Hüseyin CAN,27 JAN 1999, TUR, 1051, 05 NOV 2023,TUR,Istanbul - Turkish Marathon Ch
854, Hüseyin CAN,27 JAN 1999, TUR, 1051, 29 OCT 2023,SUI,Luzern - World Military Championships
854, Hüseyin CAN,27 JAN 1999, TUR, 1051, 08 OCT 2023,TUR,Ankara
854, Hüseyin CAN,27 JAN 1999, TUR, 1051, 10 SEP 2023,TUR,Izmir
854, Hüseyin CAN,27 JAN 1999, TUR, 1051, 27 AUG 2023,TUR,Budapest 2023
854, Hüseyin CAN,27 JAN 1999, TUR, 1051, 05 JUL 2023,TUR,Seha Aksoy Atletizm Pisti
854, Hüseyin CAN,27 JAN 1999, TUR, 1051, 30 APR 2023,TUR,Istanbul - Turkish Half Marathon Ch
855, Garret LEE,21 MAR 1993, USA, 1051, 05 NOV 2023,USA,New York
855, Garret LEE,21 MAR 1993, USA, 1051, 15 OCT 2023,CAN,Toronto
855, Garret LEE,21 MAR 1993, USA, 1051, 17 JUN 2023,USA,Duluth
855, Garret LEE,21 MAR 1993, USA, 1051, 02 APR 2023,USA,Washington Monument Grounds
855, Garret LEE,21 MAR 1993, USA, 1051, 15 JAN 2023,USA,Houston
856, Daniel VALDEZ,08 SEP 1990, MEX, 1050, 10 DEC 2023,MEX,Mexicali
856, Daniel VALDEZ,08 SEP 1990, MEX, 1050, 12 NOV 2023,MEX,San Luis Potosi
857, Mathew ROTICH,, KEN, 1050, 29 OCT 2023,KEN,Nairobi
858, Masaya TAGUCHI,20 MAY 1992, JPN, 1050, 15 OCT 2023,JPN,Tokyo
859, Lei LIU,28 NOV 1996, CHN, 1050, 29 OCT 2023,CHN,Beijing
860, Minho PARK,23 JAN 1999, KOR, 1050, 05 OCT 2023,CHN,Qiantang River Green Belt
860, Minho PARK,23 JAN 1999, KOR, 1050, 05 JUL 2023,JPN,Athletics Stadium
860, Minho PARK,23 JAN 1999, KOR, 1050, 01 JUL 2023,JPN,Athletics Stadium
860, Minho PARK,23 JAN 1999, KOR, 1050, 25 MAY 2023,KOR,Yecheon Stadium
860, Minho PARK,23 JAN 1999, KOR, 1050, 19 MAR 2023,KOR,Seoul
861, John DRESSEL,02 MAY 1997, USA, 1050, 04 SEP 2023,USA,New Haven
861, John DRESSEL,02 MAY 1997, USA, 1050, 28 MAY 2023,CAN,Ottawa
861, John DRESSEL,02 MAY 1997, USA, 1050, 13 MAY 2023,USA,Grand Rapids
861, John DRESSEL,02 MAY 1997, USA, 1050, 02 APR 2023,USA,Washington Monument Grounds
861, John DRESSEL,02 MAY 1997, USA, 1050, 04 MAR 2023,USA,Jacksonville
862, Josh KALAPOS,, USA, 1049, 14 OCT 2023,USA,Valley Cottage
862, Josh KALAPOS,, USA, 1049, 04 SEP 2023,USA,New Haven
862, Josh KALAPOS,, USA, 1049, 25 JUN 2023,USA,Boston
862, Josh KALAPOS,, USA, 1049, 26 FEB 2023,USA,Fort Worth
863, Afewerki ZERU,10 OCT 1997, USA, 1049, 05 NOV 2023,POR,Porto
863, Afewerki ZERU,10 OCT 1997, USA, 1049, 17 JUN 2023,USA,Duluth
863, Afewerki ZERU,10 OCT 1997, USA, 1049, 27 MAY 2023,USA,CSU - Neta and Eddie DeRose Thunderbowl
863, Afewerki ZERU,10 OCT 1997, USA, 1049, 29:32.59 ,USA,Bryan Clay Invitational
863, Afewerki ZERU,10 OCT 1997, USA, 1049, 31 MAR 2023,USA,Cobb Track and Angell Field
863, Afewerki ZERU,10 OCT 1997, USA, 1049, 11 MAR 2023,USA,Virginia Beach Sports Center
863, Afewerki ZERU,10 OCT 1997, USA, 1049, 10 MAR 2023,USA,Virginia Beach Sports Center
864, Dan NASH,23 MAR 1994, GBR, 1049, 03 DEC 2023,ESP,Valencia
864, Dan NASH,23 MAR 1994, GBR, 1049, 24 SEP 2023,POL,Warszawa
865, Chase WEAVERLING,10 JAN 1996, USA, 1049, 17 JUN 2023,USA,Duluth
865, Chase WEAVERLING,10 JAN 1996, USA, 1049, 07 MAY 2023,USA,Pittsburgh
865, Chase WEAVERLING,10 JAN 1996, USA, 1049, 02 APR 2023,USA,Washington Monument Grounds
865, Chase WEAVERLING,10 JAN 1996, USA, 1049, 29:04.15 ,USA,The TEN
865, Chase WEAVERLING,10 JAN 1996, USA, 1049, 11 FEB 2023,USA,Boston Univ. Track & Tennis Center
865, Chase WEAVERLING,10 JAN 1996, USA, 1049, 21 JAN 2023,VA - XC 10.0km,Pole Green Park
866, Primož KOBE,23 MAY 1981, SLO, 1049, 03 DEC 2023,ESP,Valencia
866, Primož KOBE,23 MAY 1981, SLO, 1049, 22 OCT 2023,SLO,Ljubljana
866, Primož KOBE,23 MAY 1981, SLO, 1049, 08 OCT 2023,CRO,Zagreb
866, Primož KOBE,23 MAY 1981, SLO, 1049, 24 SEP 2023,SLO,Slovenske Konjice
866, Primož KOBE,23 MAY 1981, SLO, 1049, 17 SEP 2023,SLO,Stadion Portoval
866, Primož KOBE,23 MAY 1981, SLO, 1049, 16 SEP 2023,SLO,Stadion Portoval
866, Primož KOBE,23 MAY 1981, SLO, 1049, 08 JUL 2023,SLO,"Stadion ""Ob jezeru"
866, Primož KOBE,23 MAY 1981, SLO, 1049, DNF ,Stade Complexe Sportif Jean-Paul Chasseboeuf,European 10
866, Primož KOBE,23 MAY 1981, SLO, 1049, 20 MAY 2023,SLO,Radenci - Slovenian Half Marathon Ch
866, Primož KOBE,23 MAY 1981, SLO, 1049, 19 MAR 2023,FRA,Lille
866, Primož KOBE,23 MAY 1981, SLO, 1049, 25 JAN 2023,SRB,Atletska dvorana
866, Primož KOBE,23 MAY 1981, SLO, 1049, 15 JAN 2023,SLO,Olimpijski center
867, Kamil KARBOWIAK,02 MAY 1995, POL, 1049, 03 DEC 2023,ESP,Valencia
867, Kamil KARBOWIAK,02 MAY 1995, POL, 1049, 29 OCT 2023,SUI,Luzern - World Military Championships
867, Kamil KARBOWIAK,02 MAY 1995, POL, 1049, 26 MAR 2023,POL,Warszawa
868, John Kiprono LANGAT,31 DEC 1996, KEN, 1048, 05 NOV 2023,TUR,Istanbul
868, John Kiprono LANGAT,31 DEC 1996, KEN, 1048, 04 FEB 2023,NGR,Lagos
869, Lesetja PAPO,21 MAY 1994, RSA, 1048, 03 JUN 2023,RSA,Gqeberha
869, Lesetja PAPO,21 MAY 1994, RSA, 1048, 12 MAR 2023,RSA,Durban
869, Lesetja PAPO,21 MAY 1994, RSA, 1048, 04 FEB 2023,RSA,Germiston Stadium
870, Shiro HINO,06 MAY 1997, JPN, 1048, 23 APR 2023,JPN,Nagano
870, Shiro HINO,06 MAY 1997, JPN, 1048, 26 FEB 2023,JPN,Osaka
871, Moussab HADOUT,11 MAR 1988, MAR, 1048, 22 SEP 2024,CAN,Montréal
871, Moussab HADOUT,11 MAR 1988, MAR, 1048, 21 APR 2024,MAR,Sale
872, Abdelfattah BEKLAMAAROUF,1997, MAR, 1047, 30 APR 2023,MAR,Rabat
872, Abdelfattah BEKLAMAAROUF,1997, MAR, 1047, 29 JAN 2023,MAR,Marrakech
873, Musa BABO,1988, ETH, 1047, 05 NOV 2023,CHN,Xuzhou
873, Musa BABO,1988, ETH, 1047, 04 JUN 2023,FRA,Caen
874, Miguel MAZA,25 JUL 1991, ARG, 1047, 24 SEP 2023,ARG,Buenos Aires
874, Miguel MAZA,25 JUL 1991, ARG, 1047, 23 APR 2023,ARG,Buenos Aires
875, Joseph WHELAN,13 NOV 1990, USA, 1047, 05 NOV 2023,USA,New York
875, Joseph WHELAN,13 NOV 1990, USA, 1047, 17 JUN 2023,USA,Duluth
875, Joseph WHELAN,13 NOV 1990, USA, 1047, 17 APR 2023,USA,Boston
876, Nicola BONZI,18 JAN 1995, ITA, 1046, 19 NOV 2023,ITA,Verona
876, Nicola BONZI,18 JAN 1995, ITA, 1046, 10 SEP 2023,ITA,Pescara
876, Nicola BONZI,18 JAN 1995, ITA, 1046, 28 JUN 2023,ITA,Campo Comunale
876, Nicola BONZI,18 JAN 1995, ITA, 1046, 03 JUN 2023,ITA,Centro Sportivo Saletti
876, Nicola BONZI,18 JAN 1995, ITA, 1046, 30:22.61 ,ITA,Night of the 10
876, Nicola BONZI,18 JAN 1995, ITA, 1046, 29 APR 2023,Milano,Arena Civica Gianni Brera
876, Nicola BONZI,18 JAN 1995, ITA, 1046, 30:20.99 ,Milano,C.D.S. Assoluto di Corsa - 1^ Prova: 10.000 su Pista- Fase Regionale
876, Nicola BONZI,18 JAN 1995, ITA, 1046, 12 MAR 2023,ITA,Gubbio - XC 10.0km
876, Nicola BONZI,18 JAN 1995, ITA, 1046, 12 FEB 2023,ITA,Rovereto - XC 9.0km
877, Minato OISHI,19 MAY 1988, JPN, 1046, 28:10.50 ,ITA,Japan 10
877, Minato OISHI,19 MAY 1988, JPN, 1046, 15 OCT 2023,JPN,Tokyo
877, Minato OISHI,19 MAY 1988, JPN, 1046, 28:55.10 ,JPN,Hokuren Distance Challenge 2023 - Abashiri
877, Minato OISHI,19 MAY 1988, JPN, 1046, 28:44.00 ,JPN,71st Hyogo Relay Carnival
877, Minato OISHI,19 MAY 1988, JPN, 1046, 28:08.33 ,JPN,31st Kanakuri Memorial Middle and Long Distance Invitational Meet
877, Minato OISHI,19 MAY 1988, JPN, 1046, 05 FEB 2023,JPN,Marugame
878, Naoki SAITA,01 MAY 1993, JPN, 1046, 30:19.70 ,JPN,24th Chubu Area Corporate Teams Championships
878, Naoki SAITA,01 MAY 1993, JPN, 1046, 23 APR 2023,JPN,Gifu
878, Naoki SAITA,01 MAY 1993, JPN, 1046, 26 FEB 2023,JPN,Osaka
878, Naoki SAITA,01 MAY 1993, JPN, 1046, 29 JAN 2023,JPN,Osaka Half Marathon Course
879, Kipkemoi KIPSANG,10 OCT 1990, KEN, 1046, 29 OCT 2023,KEN,Nairobi
879, Kipkemoi KIPSANG,10 OCT 1990, KEN, 1046, 23 APR 2023,ESP,Madrid
880, Mael SICOT,12 FEB 1993, FRA, 1046, 05 NOV 2023,FRA,Bordeaux
880, Mael SICOT,12 FEB 1993, FRA, 1046, 22 OCT 2023,ESP,Valencia
880, Mael SICOT,12 FEB 1993, FRA, 1046, 08 JUL 2023,FRA,Stade Raymond Troussier
